




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Crl02vSal02_NegFC_DEGs.txt (Sus scrofa)
Reference List:	FS27_BackgroundGenes.txt (Sus scrofa)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	FS27_BackgroundGenes.txt - REFLIST (12250)	Crl02vSal02_NegFC_DEGs.txt (152)	Crl02vSal02_NegFC_DEGs.txt (expected)	Crl02vSal02_NegFC_DEGs.txt (over/under)	Crl02vSal02_NegFC_DEGs.txt (fold Enrichment)	Crl02vSal02_NegFC_DEGs.txt (raw P-value)	Crl02vSal02_NegFC_DEGs.txt (FDR)
positive regulation of nephron tubule epithelial cell differentiation (GO:2000768)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytoplasmic translation (GO:2000767)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of cytoplasmic translation (GO:2000766)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of cytoplasmic translation (GO:2000765)	19	0	.24	-	 < 0.01	1.00E00	1.00E00
metanephric nephron epithelium development (GO:0072243)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell mediated cytotoxicity (GO:0001916)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell mediated cytotoxicity (GO:0001915)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of T cell mediated cytotoxicity (GO:0001914)	18	0	.22	-	 < 0.01	1.00E00	1.00E00
T cell mediated cytotoxicity (GO:0001913)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
Notch signaling pathway (GO:0007219)	54	0	.67	-	 < 0.01	1.00E00	1.00E00
positive regulation of ovulation (GO:0060279)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	37	0	.46	-	 < 0.01	1.00E00	1.00E00
neuropeptide signaling pathway (GO:0007218)	21	0	.26	-	 < 0.01	1.00E00	1.00E00
regulation of ovulation (GO:0060278)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of leukocyte mediated cytotoxicity (GO:0001911)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of leukocyte mediated cytotoxicity (GO:0001910)	48	0	.60	-	 < 0.01	1.00E00	1.00E00
G protein-coupled glutamate receptor signaling pathway (GO:0007216)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
glutamate receptor signaling pathway (GO:0007215)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid signaling pathway (GO:0007214)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
G protein-coupled acetylcholine receptor signaling pathway (GO:0007213)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
dopamine receptor signaling pathway (GO:0007212)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
embryonic skeletal joint morphogenesis (GO:0060272)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
serotonin receptor signaling pathway (GO:0007210)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of peptidyl-lysine acetylation (GO:2000757)	17	0	.21	-	 < 0.01	1.00E00	1.00E00
metanephric glomerulus vasculature development (GO:0072239)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
constitutive heterochromatin formation (GO:0140719)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
facultative heterochromatin formation (GO:0140718)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of sphingomyelin catabolic process (GO:2000755)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
metanephric proximal tubule development (GO:0072237)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of sphingomyelin catabolic process (GO:2000754)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
metanephric loop of Henle development (GO:0072236)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of glucosylceramide catabolic process (GO:2000753)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
leukocyte mediated cytotoxicity (GO:0001909)	35	0	.43	-	 < 0.01	1.00E00	1.00E00
metanephric distal tubule development (GO:0072235)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of glucosylceramide catabolic process (GO:2000752)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
metanephric nephron tubule development (GO:0072234)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
cell killing (GO:0001906)	41	0	.51	-	 < 0.01	1.00E00	1.00E00
negative regulation of respiratory burst (GO:0060268)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of respiratory burst involved in inflammatory response (GO:0060266)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein kinase C-activating G protein-coupled receptor signaling pathway (GO:0007205)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of DNA replication origin binding (GO:1902595)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of respiratory burst involved in inflammatory response (GO:0060264)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
activation of phospholipase C activity (GO:0007202)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
cyclic purine nucleotide metabolic process (GO:0052652)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription initiation by RNA polymerase II (GO:0060261)	32	0	.40	-	 < 0.01	1.00E00	1.00E00
monoacylglycerol catabolic process (GO:0052651)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of transcription initiation by RNA polymerase II (GO:0060260)	37	0	.46	-	 < 0.01	1.00E00	1.00E00
positive regulation of anterior head development (GO:2000744)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of anterior head development (GO:2000742)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
metanephric glomerulus development (GO:0072224)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of mesenchymal stem cell differentiation (GO:2000741)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
metanephric glomerular mesangium development (GO:0072223)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of mesenchymal stem cell differentiation (GO:2000740)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of feeding behavior (GO:0060259)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
alditol phosphate metabolic process (GO:0052646)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of glial cell proliferation (GO:0060253)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of glial cell proliferation (GO:0060252)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of glial cell proliferation (GO:0060251)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of mesenchymal stem cell differentiation (GO:2000739)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of stem cell differentiation (GO:2000738)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of stem cell differentiation (GO:2000737)	19	0	.24	-	 < 0.01	1.00E00	1.00E00
metanephric cortical collecting duct development (GO:0072219)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of stem cell differentiation (GO:2000736)	35	0	.43	-	 < 0.01	1.00E00	1.00E00
metanephric ascending thin limb development (GO:0072218)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of metanephros development (GO:0072217)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of metanephros development (GO:0072215)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
metanephric cortex development (GO:0072214)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of termination of RNA polymerase I transcription (GO:2000730)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to aldehyde (GO:0110096)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
metanephric nephron development (GO:0072210)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
cellular detoxification of aldehyde (GO:0110095)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
anatomical structure homeostasis (GO:0060249)	122	0	1.51	-	 < 0.01	4.09E-01	1.00E00
negative regulation of hippocampal neuron apoptotic process (GO:0110091)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
detection of cell density (GO:0060245)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell proliferation involved in contact inhibition (GO:0060244)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell growth involved in contact inhibition (GO:0060243)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
contact inhibition (GO:0060242)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of serine-type peptidase activity (GO:1902572)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of serine-type peptidase activity (GO:1902571)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to nucleolus (GO:1902570)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle cell differentiation (GO:2000727)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
metanephric mesangial cell differentiation (GO:0072209)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle cell differentiation (GO:2000726)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
metanephric smooth muscle tissue development (GO:0072208)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle cell differentiation (GO:2000725)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
metanephric epithelium development (GO:0072207)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac vascular smooth muscle cell differentiation (GO:2000724)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
metanephric collecting duct development (GO:0072205)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac vascular smooth muscle cell differentiation (GO:2000722)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of hippocampal neuron apoptotic process (GO:0110089)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell proliferation involved in metanephros development (GO:0072203)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hippocampal neuron apoptotic process (GO:0110088)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell differentiation involved in metanephros development (GO:0072202)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of mesenchymal cell proliferation (GO:0072201)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of mesenchymal cell proliferation involved in ureter development (GO:0072200)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of eosinophil activation (GO:1902568)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of eosinophil activation (GO:1902566)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lens induction in camera-type eye (GO:0060235)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of neutrophil activation (GO:1902565)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neuroblast delamination (GO:0060234)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of neutrophil activation (GO:1902564)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of neutrophil activation (GO:1902563)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
delamination (GO:0060232)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of maintenance of mitotic sister chromatid cohesion, centromeric (GO:2000719)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of maintenance of mitotic sister chromatid cohesion, centromeric (GO:2000718)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of ferroptosis (GO:0110076)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of ferroptosis (GO:0110075)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
3'-phospho-5'-adenylyl sulfate transmembrane transport (GO:1902559)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of catalase activity (GO:1902553)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
retinal rod cell differentiation (GO:0060221)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of catalase activity (GO:1902551)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of dense core granule biogenesis (GO:2000706)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of dense core granule biogenesis (GO:2000705)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
camera-type eye photoreceptor cell differentiation (GO:0060219)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
lncRNA catabolic process (GO:0110064)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
hematopoietic stem cell differentiation (GO:0060218)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular response to vascular endothelial growth factor stimulus (GO:1902548)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of cellular response to vascular endothelial growth factor stimulus (GO:1902547)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
definitive hemopoiesis (GO:0060216)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of angiotensin-activated signaling pathway (GO:0110061)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA N-glycosylase activity (GO:1902546)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
primitive hemopoiesis (GO:0060215)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
endocardium formation (GO:0060214)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of DNA N-glycosylase activity (GO:1902544)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
heme oxidation (GO:0006788)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
porphyrin-containing compound catabolic process (GO:0006787)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
heme A biosynthetic process (GO:0006784)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heme biosynthetic process (GO:0006783)	17	0	.21	-	 < 0.01	1.00E00	1.00E00
protoporphyrinogen IX biosynthetic process (GO:0006782)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
uroporphyrinogen III biosynthetic process (GO:0006780)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of blood vessel endothelial cell differentiation (GO:0110059)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of blood vessel endothelial cell differentiation (GO:0110057)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of actin filament organization (GO:0110053)	171	0	2.12	-	 < 0.01	2.78E-01	1.00E00
porphyrin-containing compound biosynthetic process (GO:0006779)	20	0	.25	-	 < 0.01	1.00E00	1.00E00
porphyrin-containing compound metabolic process (GO:0006778)	25	0	.31	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein linear polyubiquitination (GO:1902530)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Mo-molybdopterin cofactor biosynthetic process (GO:0006777)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
vitamin A metabolic process (GO:0006776)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fat-soluble vitamin metabolic process (GO:0006775)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
thiamine metabolic process (GO:0006772)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
riboflavin metabolic process (GO:0006771)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to prostaglandin D stimulus (GO:0071799)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to prostaglandin D (GO:0071798)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein linear polyubiquitination (GO:1902528)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein monoubiquitination (GO:1902527)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of protein monoubiquitination (GO:1902525)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein K48-linked ubiquitination (GO:1902524)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein K63-linked ubiquitination (GO:1902523)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
biotin metabolic process (GO:0006768)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network maintenance (GO:0071788)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network formation (GO:0071787)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network organization (GO:0071786)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of G2/MI transition of meiotic cell cycle (GO:0110032)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of G2/MI transition of meiotic cell cycle (GO:0110030)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of calcium ion transmembrane transport via high voltage-gated calcium channel (GO:1902514)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of organelle transport along microtubule (GO:1902513)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of apoptotic DNA fragmentation (GO:1902511)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of apoptotic DNA fragmentation (GO:1902510)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
ATP generation from ADP (GO:0006757)	29	0	.36	-	 < 0.01	1.00E00	1.00E00
ATP biosynthetic process (GO:0006754)	25	0	.31	-	 < 0.01	1.00E00	1.00E00
glutathione catabolic process (GO:0006751)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
MHC class II protein complex assembly (GO:0002399)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glutathione biosynthetic process (GO:0006750)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
MHC class Ib protein complex assembly (GO:0002398)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC class I protein complex assembly (GO:0002397)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
MHC protein complex assembly (GO:0002396)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
immune response in nasopharyngeal-associated lymphoid tissue (GO:0002395)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA strand resection involved in replication fork processing (GO:0110025)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle myoblast proliferation (GO:0110024)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle myoblast proliferation (GO:0110022)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of actomyosin structure organization (GO:0110020)	56	0	.69	-	 < 0.01	1.00E00	1.00E00
FAD biosynthetic process (GO:0006747)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquinone biosynthetic process (GO:0006744)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
ubiquinone metabolic process (GO:0006743)	18	0	.22	-	 < 0.01	1.00E00	1.00E00
NADP catabolic process (GO:0006742)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NADP biosynthetic process (GO:0006741)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
NADPH regeneration (GO:0006740)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
immune response in gut-associated lymphoid tissue (GO:0002387)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mucosal immune response (GO:0002385)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
immune response in brain or nervous system (GO:0002383)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear inner membrane organization (GO:0071765)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to P-body (GO:0110012)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear membrane organization (GO:0071763)	23	0	.29	-	 < 0.01	1.00E00	1.00E00
regulation of basement membrane organization (GO:0110011)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
NADP metabolic process (GO:0006739)	22	0	.27	-	 < 0.01	1.00E00	1.00E00
nicotinamide riboside catabolic process (GO:0006738)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NADH regeneration (GO:0006735)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
NADH metabolic process (GO:0006734)	17	0	.21	-	 < 0.01	1.00E00	1.00E00
plasmacytoid dendritic cell cytokine production (GO:0002373)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dendritic cell cytokine production (GO:0002371)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
formin-nucleated actin cable organization (GO:0110009)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ncRNA deadenylation (GO:0110008)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tetrahydrobiopterin biosynthetic process (GO:0006729)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
triterpenoid metabolic process (GO:0006722)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytokine production involved in immune response (GO:0002367)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
NK T cell lineage commitment (GO:0002364)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment (GO:0002362)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0002361)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
glucocorticoid catabolic process (GO:0006713)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
androgen catabolic process (GO:0006710)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
B cell homeostatic proliferation (GO:0002358)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
defense response to tumor cell (GO:0002357)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
detection of tumor cell (GO:0002355)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
plasma kallikrein-kinin cascade (GO:0002353)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
serotonin production involved in inflammatory response (GO:0002351)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
photoreceptor cell maintenance (GO:0045494)	18	0	.22	-	 < 0.01	1.00E00	1.00E00
cellular response to nitric oxide (GO:0071732)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to nitric oxide (GO:0071731)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
cholesterol catabolic process (GO:0006707)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of dendritic cell differentiation (GO:2001199)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
steroid catabolic process (GO:0006706)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of dendritic cell differentiation (GO:2001198)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
glucocorticoid biosynthetic process (GO:0006704)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
estrogen biosynthetic process (GO:0006703)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
androgen biosynthetic process (GO:0006702)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histamine production involved in inflammatory response (GO:0002349)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
C21-steroid hormone biosynthetic process (GO:0006700)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to tumor cell (GO:0002347)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:2001190)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
B cell affinity maturation (GO:0002344)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peripheral B cell selection (GO:0002343)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to triacyl bacterial lipopeptide (GO:0071727)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular response to diacyl bacterial lipopeptide (GO:0071726)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
response to triacyl bacterial lipopeptide (GO:0071725)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
response to diacyl bacterial lipopeptide (GO:0071724)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:2001189)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:2001188)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of CD8-positive, alpha-beta T cell activation (GO:2001187)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of CD8-positive, alpha-beta T cell activation (GO:2001186)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of CD8-positive, alpha-beta T cell activation (GO:2001185)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
B cell selection (GO:0002339)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
B-1a B cell differentiation (GO:0002337)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
transitional two stage B cell differentiation (GO:0002334)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transitional one stage B cell differentiation (GO:0002333)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transitional stage B cell differentiation (GO:0002332)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pre-B cell allelic exclusion (GO:0002331)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
locomotor rhythm (GO:0045475)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
response to ether (GO:0045472)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
leukotriene transport (GO:0071716)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to ethanol (GO:0045471)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
ER-associated misfolded protein catabolic process (GO:0071712)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
basement membrane organization (GO:0071711)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of mediator complex assembly (GO:2001178)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mediator complex assembly (GO:2001176)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pre-B cell differentiation (GO:0002329)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
pro-B cell differentiation (GO:0002328)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ATP biosynthetic process (GO:2001171)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
immature B cell differentiation (GO:0002327)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of ATP biosynthetic process (GO:2001170)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
B cell lineage commitment (GO:0002326)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
natural killer cell activation involved in immune response (GO:0002323)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
B cell proliferation involved in immune response (GO:0002322)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
membrane assembly (GO:0071709)	31	0	.38	-	 < 0.01	1.00E00	1.00E00
immunoglobulin heavy chain V-D-J recombination (GO:0071707)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
galactose catabolic process via UDP-galactose (GO:0033499)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of MAPK export from nucleus (GO:0071701)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ATP biosynthetic process (GO:2001169)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
cholesterol biosynthetic process via lathosterol (GO:0033490)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues (GO:2001165)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues (GO:2001163)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
memory B cell differentiation (GO:0002319)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone H3-K79 methylation (GO:2001162)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
myeloid progenitor cell differentiation (GO:0002318)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of histone H3-K79 methylation (GO:2001161)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
